rank,word,freq_weight
85,been,1.0
88,were,0.9659090909090909
94,click,0.9042553191489362
200,know,0.425
427,course,0.1990632318501171
432,room,0.19675925925925924
643,hand,0.13219284603421463
689,head,0.12336719883889695
760,electronics,0.1118421052631579
846,videos,0.10047281323877068
1169,band,0.07271171941830624
1354,kit,0.06277695716395865
1387,amazon,0.061283345349675555
1431,input,0.0593990216631726
1480,resolution,0.057432432432432436
1529,proposed,0.05559189012426423
1624,device,0.05233990147783251
1759,parent,0.04832291074474133
1802,guy,0.04716981132075472
1901,leather,0.04471330878485008
2045,interests,0.04156479217603912
2141,solid,0.039701074264362445
2250,cvs,0.03777777777777778
2328,brother,0.03651202749140894
2419,anonymous,0.03513848697809012
2599,injury,0.0327048864948057
2669,row,0.03184713375796178
2725,philosophy,0.031192660550458717
2863,provision,0.02968913726859937
2938,prescription,0.028931245745405038
3120,institution,0.027243589743589744
3290,weblog,0.02583586626139818
3330,fm,0.025525525525525526
3374,bound,0.025192649673977472
3639,alumni,0.023358065402583127
3698,satisfaction,0.022985397512168743
3701,indexed,0.02296676573898946
3864,committees,0.02199792960662526
3875,antique,0.021935483870967745
3922,blank,0.021672616012238657
4116,angle,0.0206511175898931
4180,underground,0.020334928229665074
4281,lbs,0.01985517402476057
4388,coupons,0.019371011850501368
4512,senator,0.018838652482269503
4580,purchases,0.018558951965065504
4616,jokes,0.01841421143847487
4650,stability,0.01827956989247312
4779,stewart,0.017786147729650554
4883,decrease,0.017407331558468155
4954,ns,0.017157852240613645
5084,automated,0.016719118804091267
5144,encouraged,0.01652410575427683
5182,illness,0.016402933230412968
5229,firewall,0.016255498183209028
5572,flickr,0.015254845656855708
5617,rr,0.0151326330781556
5735,protective,0.014821272885789017
5741,indicator,0.014805782964640307
5767,flows,0.014739032425871337
5972,inclusion,0.014233087742799732
6048,elegant,0.014054232804232803
6073,collaborative,0.013996377408200231
6177,mandatory,0.013760725271167234
6369,pumps,0.013345894174909717
6401,intensity,0.01327917512888611
6431,governmental,0.01321722904680454
6493,pond,0.013091021099645772
6582,organ,0.012914007900334245
6595,nail,0.012888551933282791
6955,knee,0.012221423436376708
7137,mistakes,0.011909766008126665
7198,horn,0.01180883578771881
7223,semiconductor,0.01176796345008999
7267,abs,0.011696711160038531
7355,completing,0.011556764106050306
7473,succeed,0.011374280744011776
7517,exhibitions,0.011307702540907277
7704,zoning,0.011033229491173416
7894,preventing,0.01076767164935394
8038,subdivision,0.010574769843244588
8202,surround,0.01036332601804438
8340,indexes,0.010191846522781775
8411,tackle,0.010105813815241945
8462,excuse,0.01004490664145592
8564,uh,0.009925268566090611
8571,occurring,0.009917162524792906
8687,angola,0.009784735812133074
8813,dispatch,0.009644842845795983
8898,herb,0.00955270847381434
8991,deviation,0.009453898342787231
9062,lid,0.009379827852571177
9357,ladder,0.009084108154322966
9398,confidentiality,0.009044477548414557
9587,treasures,0.008866172942526337
9609,creations,0.008845873660110314
9612,acquisitions,0.008843112775697047
9659,hardwood,0.008800082824308934
9791,indices,0.008681442140741498
9830,bother,0.008646998982706001
